States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)",,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1950-1951,193.00,52.00,269,,,,
Assam,,Arhar (Tur/Red gram),1950-1951,10.00,3.00,302,,,,
Bihar,,Arhar (Tur/Red gram),1950-1951,195.00,96.00,491,,,,
Gujarat,,Arhar (Tur/Red gram),1950-1951,72.00,34.00,465,,,,
Karnataka,,Arhar (Tur/Red gram),1950-1951,239.00,82.00,232,,,,
Kerala,,Arhar (Tur/Red gram),1950-1951,3.00,1.00,333,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1950-1951,306.00,272.00,889,,,,
Maharashtra,,Arhar (Tur/Red gram),1950-1951,429.00,398.00,928,,,,
Odisha,,Arhar (Tur/Red gram),1950-1951,12.00,8.00,693,,,,
Rajasthan,,Arhar (Tur/Red gram),1950-1951,10.00,2.00,210,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1950-1951,50.00,13.00,263,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1950-1951,648.00,745.00,115,,,,
West Bengal,,Arhar (Tur/Red gram),1950-1951,15.00,13.00,692,,,,
India,,Arhar (Tur/Red gram),1950-1951,2181.00,1719.00,788,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1951-1952,201.00,63.00,313,,,,
Assam,,Arhar (Tur/Red gram),1951-1952,4.00,1.00,279,,,,
Bihar,,Arhar (Tur/Red gram),1951-1952,281.00,141.00,503,,,,
Gujarat,,Arhar (Tur/Red gram),1951-1952,80.00,22.00,280,,,,
Karnataka,,Arhar (Tur/Red gram),1951-1952,250.00,98.00,391,,,,
Kerala,,Arhar (Tur/Red gram),1951-1952,2.00,1.00,500,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1951-1952,327.00,302.00,924,,,,
Maharashtra,,Arhar (Tur/Red gram),1951-1952,501.00,442.00,881,,,,
Odisha,,Arhar (Tur/Red gram),1951-1952,11.00,7.00,651,,,,
Rajasthan,,Arhar (Tur/Red gram),1951-1952,8.00,2.00,239,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1951-1952,70.00,19.00,277,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1951-1952,692.00,716.00,1035,,,,
West Bengal,,Arhar (Tur/Red gram),1951-1952,19.00,15.00,785,,,,
India,,Arhar (Tur/Red gram),1951-1952,2446.00,1830.00,748,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1952-1953,170.00,43.00,250,,,,
Assam,,Arhar (Tur/Red gram),1952-1953,3.00,1.00,314,,,,
Bihar,,Arhar (Tur/Red gram),1952-1953,238.00,134.00,563,,,,
Gujarat,,Arhar (Tur/Red gram),1952-1953,80.00,34.00,434,,,,
Karnataka,,Arhar (Tur/Red gram),1952-1953,243.00,81.00,335,,,,
Kerala,,Arhar (Tur/Red gram),1952-1953,3.00,1.00,333,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1952-1953,372.00,247.00,665,,,,
Maharashtra,,Arhar (Tur/Red gram),1952-1953,506.00,378.00,748,,,,
Odisha,,Arhar (Tur/Red gram),1952-1953,13.00,9.00,685,,,,
Rajasthan,,Arhar (Tur/Red gram),1952-1953,7.00,2.00,296,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1952-1953,51.00,15.00,302,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1952-1953,686.00,739.00,1076,,,,
West Bengal,,Arhar (Tur/Red gram),1952-1953,28.00,17.00,619,,,,
India,,Arhar (Tur/Red gram),1952-1953,2400.00,1702.00,709,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1953-1954,187.00,54.00,289,,,,
Assam,,Arhar (Tur/Red gram),1953-1954,4.00,3.00,837,,,,
Bihar,,Arhar (Tur/Red gram),1953-1954,180.00,86.00,479,,,,
Gujarat,,Arhar (Tur/Red gram),1953-1954,84.00,47.00,558,,,,
Karnataka,,Arhar (Tur/Red gram),1953-1954,276.00,101.00,364,,,,
Kerala,,Arhar (Tur/Red gram),1953-1954,3.00,1.00,333,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1953-1954,424.00,344.00,813,,,,
Maharashtra,,Arhar (Tur/Red gram),1953-1954,559.00,526.00,942,,,,
Odisha,,Arhar (Tur/Red gram),1953-1954,13.00,9.00,685,,,,
Rajasthan,,Arhar (Tur/Red gram),1953-1954,8.00,2.00,265,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1953-1954,66.00,24.00,370,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1953-1954,582.00,652.00,1120,,,,
West Bengal,,Arhar (Tur/Red gram),1953-1954,18.00,13.00,742,,,,
India,,Arhar (Tur/Red gram),1953-1954,2404.00,1864.00,775,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1954-1955,156.00,46.00,299,,,,
Assam,,Arhar (Tur/Red gram),1954-1955,2.00,2.00,728,,,,
Bihar,,Arhar (Tur/Red gram),1954-1955,188.00,99.00,527,,,,
Gujarat,,Arhar (Tur/Red gram),1954-1955,87.00,48.00,565,,,,
Karnataka,,Arhar (Tur/Red gram),1954-1955,254.00,98.00,384,,,,
Kerala,,Arhar (Tur/Red gram),1954-1955,12.00,5.00,417,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1954-1955,411.00,276.00,673,,,,
Maharashtra,,Arhar (Tur/Red gram),1954-1955,529.00,382.00,723,,,,
Odisha,,Arhar (Tur/Red gram),1954-1955,13.00,9.00,658,,,,
Rajasthan,,Arhar (Tur/Red gram),1954-1955,14.00,4.00,266,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1954-1955,62.00,28.00,441,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1954-1955,650.00,705.00,1086,,,,
West Bengal,,Arhar (Tur/Red gram),1954-1955,25.00,16.00,663,,,,
India,,Arhar (Tur/Red gram),1954-1955,2404.00,1719.00,715,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1955-1956,162.00,44.00,274,,,,
Assam,,Arhar (Tur/Red gram),1955-1956,2.00,2.00,709,,,,
Bihar,,Arhar (Tur/Red gram),1955-1956,140.00,76.00,543,,,,
Gujarat,,Arhar (Tur/Red gram),1955-1956,80.00,41.00,515,,,,
Karnataka,,Arhar (Tur/Red gram),1955-1956,270.00,88.00,326,,,,
Kerala,,Arhar (Tur/Red gram),1955-1956,8.00,3.00,375,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1955-1956,395.00,349.00,883,,,,
Maharashtra,,Arhar (Tur/Red gram),1955-1956,527.00,404.00,767,,,,
Odisha,,Arhar (Tur/Red gram),1955-1956,14.00,9.00,656,,,,
Rajasthan,,Arhar (Tur/Red gram),1955-1956,12.00,4.00,294,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1955-1956,61.00,21.00,345,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1955-1956,590.00,800.00,1357,,,,
West Bengal,,Arhar (Tur/Red gram),1955-1956,25.00,18.00,729,,,,
India,,Arhar (Tur/Red gram),1955-1956,2287.00,1861.00,814,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1956-1957,157.00,44.00,272,,,,
Assam,,Arhar (Tur/Red gram),1956-1957,2.00,2.00,727,,,,
Bihar,,Arhar (Tur/Red gram),1956-1957,128.00,49.00,382,,,,
Gujarat,,Arhar (Tur/Red gram),1956-1957,76.00,39.00,515,,,,
Karnataka,,Arhar (Tur/Red gram),1956-1957,253.00,70.00,273,,,,
Kerala,,Arhar (Tur/Red gram),1956-1957,11.00,5.00,455,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1956-1957,359.00,257.00,715,,,,
Maharashtra,,Arhar (Tur/Red gram),1956-1957,543.00,406.00,747,,,,
Odisha,,Arhar (Tur/Red gram),1956-1957,15.00,9.00,619,,,,
Rajasthan,,Arhar (Tur/Red gram),1956-1957,18.00,6.00,325,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1956-1957,50.00,23.00,453,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1956-1957,660.00,1072.00,1622,,,,
West Bengal,,Arhar (Tur/Red gram),1956-1957,19.00,8.00,396,,,,
India,,Arhar (Tur/Red gram),1956-1957,2293.00,1989.00,867,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1957-1958,162.00,43.00,266,,,,
Assam,,Arhar (Tur/Red gram),1957-1958,2.00,2.00,714,,,,
Bihar,,Arhar (Tur/Red gram),1957-1958,164.00,83.00,505,,,,
Gujarat,,Arhar (Tur/Red gram),1957-1958,76.00,31.00,409,,,,
Karnataka,,Arhar (Tur/Red gram),1957-1958,285.00,104.00,364,,,,
Kerala,,Arhar (Tur/Red gram),1957-1958,9.00,4.00,444,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1957-1958,378.00,215.00,568,,,,
Maharashtra,,Arhar (Tur/Red gram),1957-1958,557.00,338.00,606,,,,
Odisha,,Arhar (Tur/Red gram),1957-1958,14.00,8.00,589,,,,
Rajasthan,,Arhar (Tur/Red gram),1957-1958,18.00,6.00,334,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1957-1958,53.00,24.00,458,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1957-1958,624.00,607.00,972,,,,
West Bengal,,Arhar (Tur/Red gram),1957-1958,17.00,9.00,514,,,,
India,,Arhar (Tur/Red gram),1957-1958,2361.00,1475.00,625,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1958-1959,155.00,42.00,270,,,,
Assam,,Arhar (Tur/Red gram),1958-1959,2.00,2.00,671,,,,
Bihar,,Arhar (Tur/Red gram),1958-1959,208.00,131.00,627,,,,
Gujarat,,Arhar (Tur/Red gram),1958-1959,82.00,43.00,522,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1958-1959,1.00,1.00,1000,,,,
Karnataka,,Arhar (Tur/Red gram),1958-1959,291.00,71.00,245,,,,
Kerala,,Arhar (Tur/Red gram),1958-1959,9.00,4.00,444,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1958-1959,385.00,327.00,850,,,,
Maharashtra,,Arhar (Tur/Red gram),1958-1959,564.00,356.00,631,,,,
Odisha,,Arhar (Tur/Red gram),1958-1959,13.00,7.00,551,,,,
Rajasthan,,Arhar (Tur/Red gram),1958-1959,18.00,4.00,237,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1958-1959,58.00,24.00,425,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1958-1959,641.00,661.00,1031,,,,
West Bengal,,Arhar (Tur/Red gram),1958-1959,44.00,30.00,682,,,,
India,,Arhar (Tur/Red gram),1958-1959,2473.00,1702.00,688,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1959-1960,154.00,73.00,474,,,,
Assam,,Arhar (Tur/Red gram),1959-1960,2.00,1.00,615,,,,
Bihar,,Arhar (Tur/Red gram),1959-1960,205.00,111.00,542,,,,
Gujarat,,Arhar (Tur/Red gram),1959-1960,81.00,38.00,474,,,,
Haryana,,Arhar (Tur/Red gram),1959-1960,-,1.00,-,,,,
Karnataka,,Arhar (Tur/Red gram),1959-1960,288.00,113.00,393,,,,
Kerala,,Arhar (Tur/Red gram),1959-1960,8.00,4.00,500,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1959-1960,379.00,258.00,681,,,,
Maharashtra,,Arhar (Tur/Red gram),1959-1960,534.00,297.00,556,,,,
Odisha,,Arhar (Tur/Red gram),1959-1960,14.00,7.00,494,,,,
Rajasthan,,Arhar (Tur/Red gram),1959-1960,26.00,8.00,312,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1959-1960,58.00,26.00,449,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1959-1960,660.00,755.00,1144,,,,
West Bengal,,Arhar (Tur/Red gram),1959-1960,21.00,9.00,451,,,,
India,,Arhar (Tur/Red gram),1959-1960,2429.00,1701.00,700,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1960-1961,145.00,63.00,432,,,,
Assam,,Arhar (Tur/Red gram),1960-1961,3.00,1.00,665,,,,
Bihar,,Arhar (Tur/Red gram),1960-1961,186.00,110.00,593,,,,
Gujarat,,Arhar (Tur/Red gram),1960-1961,85.00,39.00,443,,,,
Karnataka,,Arhar (Tur/Red gram),1960-1961,296.00,92.00,309,,,,
Kerala,,Arhar (Tur/Red gram),1960-1961,9.00,4.00,444,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1960-1961,395.00,342.00,866,,,,
Maharashtra,,Arhar (Tur/Red gram),1960-1961,530.00,468.00,884,,,,
Odisha,,Arhar (Tur/Red gram),1960-1961,14.00,6.00,448,,,,
Rajasthan,,Arhar (Tur/Red gram),1960-1961,25.00,7.00,297,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1960-1961,56.00,26.00,455,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1960-1961,652.00,886.00,1358,,,,
West Bengal,,Arhar (Tur/Red gram),1960-1961,34.00,22.00,629,,,,
India,,Arhar (Tur/Red gram),1960-1961,2433.00,2066.00,849,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1961-1962,174.00,72.00,415,,,,
Assam,,Arhar (Tur/Red gram),1961-1962,3.00,2.00,668,,,,
Bihar,,Arhar (Tur/Red gram),1961-1962,166.00,91.00,545,,,,
Gujarat,,Arhar (Tur/Red gram),1961-1962,94.00,47.00,497,,,,
Haryana,,Arhar (Tur/Red gram),1961-1962,2.00,2.00,1000,,,,
Karnataka,,Arhar (Tur/Red gram),1961-1962,298.00,112.00,375,,,,
Kerala,,Arhar (Tur/Red gram),1961-1962,8.00,4.00,500,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1961-1962,391.00,238.00,610,,,,
Maharashtra,,Arhar (Tur/Red gram),1961-1962,562.00,344.00,613,,,,
Odisha,,Arhar (Tur/Red gram),1961-1962,15.00,9.00,576,,,,
Rajasthan,,Arhar (Tur/Red gram),1961-1962,24.00,10.00,432,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1961-1962,53.00,24.00,453,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1961-1962,616.00,390.00,634,,,,
West Bengal,,Arhar (Tur/Red gram),1961-1962,39.00,23.00,602,,,,
India,,Arhar (Tur/Red gram),1961-1962,2447.00,1367.00,559,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1962-1963,173.00,44.00,257,,,,
Assam,,Arhar (Tur/Red gram),1962-1963,3.00,2.00,684,,,,
Bihar,,Arhar (Tur/Red gram),1962-1963,160.00,129.00,806,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1962-1963,-,-,500,,,,
Gujarat,,Arhar (Tur/Red gram),1962-1963,88.00,44.00,500,,,,
Haryana,,Arhar (Tur/Red gram),1962-1963,2.00,2.00,1000,,,,
Karnataka,,Arhar (Tur/Red gram),1962-1963,285.00,86.00,301,,,,
Kerala,,Arhar (Tur/Red gram),1962-1963,9.00,4.00,444,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1962-1963,392.00,229.00,585,,,,
Maharashtra,,Arhar (Tur/Red gram),1962-1963,544.00,308.00,565,,,,
Odisha,,Arhar (Tur/Red gram),1962-1963,34.00,21.00,621,,,,
Rajasthan,,Arhar (Tur/Red gram),1962-1963,24.00,10.00,405,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1962-1963,55.00,25.00,460,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1962-1963,641.00,651.00,1015,,,,
West Bengal,,Arhar (Tur/Red gram),1962-1963,40.00,27.00,685,,,,
India,,Arhar (Tur/Red gram),1962-1963,2452.00,1582.00,645,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1963-1964,171.00,56.00,331,,,,
Assam,,Arhar (Tur/Red gram),1963-1964,3.00,2.00,691,,,,
Bihar,,Arhar (Tur/Red gram),1963-1964,180.00,122.00,679,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1963-1964,1.00,1.00,513,,,,
Gujarat,,Arhar (Tur/Red gram),1963-1964,89.00,46.00,516,,,,
Haryana,,Arhar (Tur/Red gram),1963-1964,1.00,1.00,1000,,,,
Karnataka,,Arhar (Tur/Red gram),1963-1964,304.00,113.00,371,,,,
Kerala,,Arhar (Tur/Red gram),1963-1964,9.00,4.00,444,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1963-1964,395.00,244.00,618,,,,
Maharashtra,,Arhar (Tur/Red gram),1963-1964,566.00,360.00,637,,,,
Odisha,,Arhar (Tur/Red gram),1963-1964,40.00,22.00,546,,,,
