States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Andhra Pradesh,,Gram,1950-1951,143.00,47.00,327
Bihar,,Gram,1950-1951,506.00,158.00,314
Delhi,,Gram,1950-1951,21.00,2.00,95
Gujarat,,Gram,1950-1951,106.00,36.00,334
Himachal Pradesh,,Gram,1950-1951,6.00,4.00,628
Jammu & Kashmir,,Gram,1950-1951,4.00,2.00,500
Karnataka,,Gram,1950-1951,170.00,53.00,310
Madhya Pradesh,,Gram,1950-1951,1303.00,593.00,455
Maharashtra,,Gram,1950-1951,452.00,152.00,337
Odisha,,Gram,1950-1951,16.00,5.00,314
Punjab,,Gram,1950-1951,1698.00,831.00,490
Rajasthan,,Gram,1950-1951,573.00,199.00,347
Tamil Nadu,,Gram,1950-1951,2.00,1.00,500
Uttar Pradesh,,Gram,1950-1951,2439.00,1454.00,596
West Bengal,,Gram,1950-1951,130.00,113.00,871
India,,Gram,1950-1951,7570.00,3651.00,482
Andhra Pradesh,,Gram,1951-1952,130.00,34.00,259
Assam,,Gram,1951-1952,4.00,2.00,500
Bihar,,Gram,1951-1952,539.00,224.00,415
Delhi,,Gram,1951-1952,6.00,1.00,166
Gujarat,,Gram,1951-1952,39.00,7.00,182
Himachal Pradesh,,Gram,1951-1952,6.00,2.00,335
Jammu & Kashmir,,Gram,1951-1952,3.00,2.00,666
Karnataka,,Gram,1951-1952,165.00,40.00,241
Madhya Pradesh,,Gram,1951-1952,1422.00,617.00,434
Maharashtra,,Gram,1951-1952,421.00,116.00,275
Odisha,,Gram,1951-1952,26.00,8.00,318
Punjab,,Gram,1951-1952,1085.00,711.00,656
Rajasthan,,Gram,1951-1952,461.00,162.00,351
Tamil Nadu,,Gram,1951-1952,2.00,1.00,500
Uttar Pradesh,,Gram,1951-1952,2321.00,1294.00,558
West Bengal,,Gram,1951-1952,200.00,168.00,841
India,,Gram,1951-1952,6830.00,3387.00,496
Andhra Pradesh,,Gram,1952-1953,104.00,36.00,341
Assam,,Gram,1952-1953,3.00,2.00,666
Bihar,,Gram,1952-1953,595.00,325.00,547
Delhi,,Gram,1952-1953,14.00,2.00,142
Gujarat,,Gram,1952-1953,55.00,13.00,240
Himachal Pradesh,,Gram,1952-1953,2.00,1.00,418
Jammu & Kashmir,,Gram,1952-1953,8.00,4.00,500
Karnataka,,Gram,1952-1953,155.00,41.00,261
Madhya Pradesh,,Gram,1952-1953,1395.00,625.00,448
Maharashtra,,Gram,1952-1953,407.00,109.00,267
Odisha,,Gram,1952-1953,25.00,8.00,324
Punjab,,Gram,1952-1953,1367.00,1021.00,748
Rajasthan,,Gram,1952-1953,523.00,282.00,540
Tamil Nadu,,Gram,1952-1953,2.00,-,-
Uttar Pradesh,,Gram,1952-1953,2432.00,1597.00,657
West Bengal,,Gram,1952-1953,168.00,142.00,845
India,,Gram,1952-1953,7256.00,4208.00,580
Andhra Pradesh,,Gram,1953-1954,114.00,41.00,358
Assam,,Gram,1953-1954,3.00,2.00,667
Bihar,,Gram,1953-1954,549.00,294.00,535
Delhi,,Gram,1953-1954,10.00,1.00,100
Gujarat,,Gram,1953-1954,79.00,24.00,309
Himachal Pradesh,,Gram,1953-1954,6.00,3.00,502
Jammu & Kashmir,,Gram,1953-1954,1.00,1.00,1000
Karnataka,,Gram,1953-1954,162.00,56.00,345
Madhya Pradesh,,Gram,1953-1954,1388.00,602.00,434
Maharashtra,,Gram,1953-1954,413.00,145.00,352
Odisha,,Gram,1953-1954,25.00,8.00,330
