States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Assam,Rabi,Khesari or Lakh,1976-1977,6.70,2.80,418
Bihar,Rabi,Khesari or Lakh,1976-1977,533.70,251.70,472
Madhya Pradesh,Rabi,Khesari or Lakh,1976-1977,679.30,140.60,207
Maharashtra,Rabi,Khesari or Lakh,1976-1977,118.70,27.60,233
West Bengal,Rabi,Khesari or Lakh,1976-1977,185.70,100.90,543
India,Rabi,Khesari or Lakh,1976-1977,1524.10,520.80,342
Assam,Rabi,Khesari or Lakh,1977-1978,8.00,3.30,413
Bihar,Rabi,Khesari or Lakh,1977-1978,526.70,216.60,411
Madhya Pradesh,Rabi,Khesari or Lakh,1977-1978,773.30,309.30,400
Maharashtra,Rabi,Khesari or Lakh,1977-1978,119.80,23.00,192
West Bengal,Rabi,Khesari or Lakh,1977-1978,150.00,88.70,591
India,Rabi,Khesari or Lakh,1977-1978,1577.80,637.60,404
Assam,Rabi,Khesari or Lakh,1978-1979,9.20,4.80,522
Bihar,Rabi,Khesari or Lakh,1978-1979,530.50,240.70,454
Madhya Pradesh,Rabi,Khesari or Lakh,1978-1979,782.90,269.30,344
Maharashtra,Rabi,Khesari or Lakh,1978-1979,120.60,26.70,221
West Bengal,Rabi,Khesari or Lakh,1978-1979,156.80,75.30,480
India,Rabi,Khesari or Lakh,1978-1979,1600.00,612.00,383
Assam,Rabi,Khesari or Lakh,1979-1980,7.80,3.30,423
Bihar,Rabi,Khesari or Lakh,1979-1980,397.20,182.00,458
Madhya Pradesh,Rabi,Khesari or Lakh,1979-1980,470.20,76.70,163
Maharashtra,Rabi,Khesari or Lakh,1979-1980,78.80,25.00,317
West Bengal,Rabi,Khesari or Lakh,1979-1980,130.30,64.40,494
India,Rabi,Khesari or Lakh,1979-1980,1084.30,348.10,321
Assam,Rabi,Khesari or Lakh,1980-1981,9.20,3.80,413
Bihar,Rabi,Khesari or Lakh,1980-1981,447.80,277.40,619
Madhya Pradesh,Rabi,Khesari or Lakh,1980-1981,682.10,220.30,323
Maharashtra,Rabi,Khesari or Lakh,1980-1981,78.80,14.50,184
West Bengal,Rabi,Khesari or Lakh,1980-1981,134.70,49.50,367
India,Rabi,Khesari or Lakh,1980-1981,1352.60,561.70,415
Bihar,Rabi,Khesari or Lakh,1981-1982,410.70,258.00,628
Madhya Pradesh,Rabi,Khesari or Lakh,1981-1982,703.70,173.10,246
Maharashtra,Rabi,Khesari or Lakh,1981-1982,107.20,21.10,197
West Bengal,Rabi,Khesari or Lakh,1981-1982,85.50,45.80,536
India,Rabi,Khesari or Lakh,1981-1982,1307.10,498.00,381
Bihar,Rabi,Khesari or Lakh,1982-1983,335.10,249.40,565
Madhya Pradesh,Rabi,Khesari or Lakh,1982-1983,646.80,230.30,292
Maharashtra,Rabi,Khesari or Lakh,1982-1983,81.70,26.00,173
West Bengal,Rabi,Khesari or Lakh,1982-1983,53.90,43.60,449
India,Rabi,Khesari or Lakh,1982-1983,1117.50,549.30,373
Bihar,Rabi,Khesari or Lakh,1983-1984,335.30,250.60,744
Madhya Pradesh,Rabi,Khesari or Lakh,1983-1984,717.40,180.70,321
Maharashtra,Rabi,Khesari or Lakh,1983-1984,110.90,20.70,234
West Bengal,Rabi,Khesari or Lakh,1983-1984,70.00,52.20,623
India,Rabi,Khesari or Lakh,1983-1984,1233.60,504.20,445
Bihar,Rabi,Khesari or Lakh,1984-1985,342.20,284.70,732
Madhya Pradesh,Rabi,Khesari or Lakh,1984-1985,671.60,211.70,269
Maharashtra,Rabi,Khesari or Lakh,1984-1985,75.30,24.50,275
West Bengal,Rabi,Khesari or Lakh,1984-1985,89.30,63.50,585
India,Rabi,Khesari or Lakh,1984-1985,1178.40,584.40,428
Bihar,Rabi,Khesari or Lakh,1985-1986,361.60,284.70,787
Madhya Pradesh,Rabi,Khesari or Lakh,1985-1986,745.40,211.70,284
Maharashtra,Rabi,Khesari or Lakh,1985-1986,87.50,24.50,280
West Bengal,Rabi,Khesari or Lakh,1985-1986,99.00,63.50,641
India,Rabi,Khesari or Lakh,1985-1986,1293.50,584.40,452
Bihar,Rabi,Khesari or Lakh,1986-1987,374.30,265.40,709
Madhya Pradesh,Rabi,Khesari or Lakh,1986-1987,555.60,166.10,299
Maharashtra,Rabi,Khesari or Lakh,1986-1987,66.70,16.90,253
West Bengal,Rabi,Khesari or Lakh,1986-1987,59.70,37.80,633
India,Rabi,Khesari or Lakh,1986-1987,1056.30,486.20,460
Bihar,Rabi,Khesari or Lakh,1987-1988,346.70,233.50,673
Madhya Pradesh,Rabi,Khesari or Lakh,1987-1988,542.20,197.90,365
Maharashtra,Rabi,Khesari or Lakh,1987-1988,68.10,18.50,272
West Bengal,Rabi,Khesari or Lakh,1987-1988,67.10,35.90,535
India,Rabi,Khesari or Lakh,1987-1988,1024.10,485.80,474
Bihar,Rabi,Khesari or Lakh,1988-1989,312.00,219.10,702
Madhya Pradesh,Rabi,Khesari or Lakh,1988-1989,497.30,162.10,326
Maharashtra,Rabi,Khesari or Lakh,1988-1989,48.70,24.40,501
West Bengal,Rabi,Khesari or Lakh,1988-1989,45.60,35.20,772
India,Rabi,Khesari or Lakh,1988-1989,903.60,440.80,488
Bihar,Rabi,Khesari or Lakh,1989-1990,317.50,223.20,703
Madhya Pradesh,Rabi,Khesari or Lakh,1989-1990,524.00,202.20,386
Maharashtra,Rabi,Khesari or Lakh,1989-1990,45.90,19.70,429
West Bengal,Rabi,Khesari or Lakh,1989-1990,46.70,35.00,749
India,Rabi,Khesari or Lakh,1989-1990,934.10,480.10,514
Bihar,Rabi,Khesari or Lakh,1990-1991,304.10,240.20,790
Madhya Pradesh,Rabi,Khesari or Lakh,1990-1991,674.90,278.10,412
Maharashtra,Rabi,Khesari or Lakh,1990-1991,35.50,14.20,400
West Bengal,Rabi,Khesari or Lakh,1990-1991,44.80,29.10,650
India,Rabi,Khesari or Lakh,1990-1991,1059.30,561.60,530
Bihar,Rabi,Khesari or Lakh,1991-1992,271.00,212.10,783
Madhya Pradesh,Rabi,Khesari or Lakh,1991-1992,625.90,329.80,527
Maharashtra,Rabi,Khesari or Lakh,1991-1992,19.40,4.20,216
West Bengal,Rabi,Khesari or Lakh,1991-1992,39.80,25.30,636
India,Rabi,Khesari or Lakh,1991-1992,956.10,571.40,598
Bihar,Rabi,Khesari or Lakh,1992-1993,208.30,169.10,812
Madhya Pradesh,Rabi,Khesari or Lakh,1992-1993,601.80,290.10,482
Maharashtra,Rabi,Khesari or Lakh,1992-1993,31.90,8.10,254
West Bengal,Rabi,Khesari or Lakh,1992-1993,37.30,43.10,1155
India,Rabi,Khesari or Lakh,1992-1993,879.30,510.40,580
Bihar,Rabi,Khesari or Lakh,1993-1994,207.70,186.80,899
Madhya Pradesh,Rabi,Khesari or Lakh,1993-1994,682.50,376.70,552
Maharashtra,Rabi,Khesari or Lakh,1993-1994,39.10,16.90,432
West Bengal,Rabi,Khesari or Lakh,1993-1994,38.40,40.10,1044
India,Rabi,Khesari or Lakh,1993-1994,967.70,620.50,641
Bihar,Rabi,Khesari or Lakh,1994-1995,199.10,194.50,977
Madhya Pradesh,Rabi,Khesari or Lakh,1994-1995,707.90,359.60,508
Maharashtra,Rabi,Khesari or Lakh,1994-1995,53.20,21.30,400
West Bengal,Rabi,Khesari or Lakh,1994-1995,25.90,20.80,803
India,Rabi,Khesari or Lakh,1994-1995,986.10,596.20,605
Bihar,Rabi,Khesari or Lakh,1995-1996,175.40,115.20,657
Madhya Pradesh,Rabi,Khesari or Lakh,1995-1996,681.30,254.80,374
Maharashtra,Rabi,Khesari or Lakh,1995-1996,41.20,20.80,505
West Bengal,Rabi,Khesari or Lakh,1995-1996,27.90,30.90,1108
India,Rabi,Khesari or Lakh,1995-1996,925.80,421.70,456
Bihar,Rabi,Khesari or Lakh,1996-1997,177.70,158.40,891
Madhya Pradesh,Rabi,Khesari or Lakh,1996-1997,638.40,337.70,529
Maharashtra,Rabi,Khesari or Lakh,1996-1997,41.40,22.60,546
West Bengal,Rabi,Khesari or Lakh,1996-1997,26.70,32.20,1206
India,Rabi,Khesari or Lakh,1996-1997,884.20,550.90,623
Bihar,Rabi,Khesari or Lakh,1997-1998,179.50,155.20,865
Madhya Pradesh,Rabi,Khesari or Lakh,1997-1998,599.70,43.20,72
Maharashtra,Rabi,Khesari or Lakh,1997-1998,41.30,16.60,402
West Bengal,Rabi,Khesari or Lakh,1997-1998,25.30,28.50,1127
India,Rabi,Khesari or Lakh,1997-1998,845.80,243.50,288
Bihar,Rabi,Khesari or Lakh,1998-1999,160.80,147.70,919
Madhya Pradesh,Rabi,Khesari or Lakh,1998-1999,441.20,228.00,517
Maharashtra,Rabi,Khesari or Lakh,1998-1999,39.60,16.10,407
West Bengal,Rabi,Khesari or Lakh,1998-1999,23.30,20.90,897
India,Rabi,Khesari or Lakh,1998-1999,664.90,412.70,621
Bihar,Rabi,Khesari or Lakh,1999-2000,169.50,168.50,994
Madhya Pradesh,Rabi,Khesari or Lakh,1999-2000,509.00,344.10,676
Maharashtra,Rabi,Khesari or Lakh,1999-2000,43.00,21.00,488
West Bengal,Rabi,Khesari or Lakh,1999-2000,36.80,39.70,1079
India,Rabi,Khesari or Lakh,1999-2000,758.30,573.30,756
Bihar,Rabi,Khesari or Lakh,2000-2001,157.10,143.70,915
Chhattisgarh,Rabi,Khesari or Lakh,2000-2001,250.80,108.90,434
Madhya Pradesh,Rabi,Khesari or Lakh,2000-2001,50.60,29.70,587
Maharashtra,Rabi,Khesari or Lakh,2000-2001,24.00,9.00,375
West Bengal,Rabi,Khesari or Lakh,2000-2001,40.40,42.60,1054
India,Rabi,Khesari or Lakh,2000-2001,522.90,333.90,639
Bihar,Rabi,Khesari or Lakh,2001-2002,157.00,129.70,826
Chhattisgarh,Rabi,Khesari or Lakh,2001-2002,416.80,230.50,553
Madhya Pradesh,Rabi,Khesari or Lakh,2001-2002,53.40,38.20,715
Maharashtra,Rabi,Khesari or Lakh,2001-2002,30.00,16.00,533
West Bengal,Rabi,Khesari or Lakh,2001-2002,34.70,28.70,827
India,Rabi,Khesari or Lakh,2001-2002,691.90,443.10,640
Bihar,Rabi,Khesari or Lakh,2002-2003,141.60,114.70,810
Chhattisgarh,Rabi,Khesari or Lakh,2002-2003,330.10,170.30,516
Madhya Pradesh,Rabi,Khesari or Lakh,2002-2003,49.10,33.70,686
