States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Andhra Pradesh,Kharif,Kulthi (Horse Gram),1976-1977,135.00,22.00,160
Bihar,Kharif,Kulthi (Horse Gram),1976-1977,106.00,37.00,352
Himachal Pradesh,Kharif,Kulthi (Horse Gram),1976-1977,9.00,3.00,337
Jammu & Kashmir,Kharif,Kulthi (Horse Gram),1976-1977,3.00,1.00,346
Karnataka,Kharif,Kulthi (Horse Gram),1976-1977,284.00,97.00,341
Madhya Pradesh,Kharif,Kulthi (Horse Gram),1976-1977,198.00,46.00,232
Maharashtra,Kharif,Kulthi (Horse Gram),1976-1977,287.00,90.00,312
Odisha,Kharif,Kulthi (Horse Gram),1976-1977,13.00,4.00,328
Tamil Nadu,Kharif,Kulthi (Horse Gram),1976-1977,197.00,46.00,232
India,Kharif,Kulthi (Horse Gram),1976-1977,1231.00,345.00,281
Andhra Pradesh,Rabi,Kulthi (Horse Gram),1976-1977,184.00,42.00,228
Karnataka,Rabi,Kulthi (Horse Gram),1976-1977,100.00,13.00,130
Madhya Pradesh,Rabi,Kulthi (Horse Gram),1976-1977,7.00,1.00,186
Maharashtra,Rabi,Kulthi (Horse Gram),1976-1977,13.00,3.00,200
Odisha,Rabi,Kulthi (Horse Gram),1976-1977,191.00,75.00,392
West Bengal,Rabi,Kulthi (Horse Gram),1976-1977,4.00,2.00,595
India,Rabi,Kulthi (Horse Gram),1976-1977,500.00,136.00,272
Andhra Pradesh,Total,Kulthi (Horse Gram),1976-1977,319.00,64.00,200
Bihar,Total,Kulthi (Horse Gram),1976-1977,106.00,37.00,349
Himachal Pradesh,Total,Kulthi (Horse Gram),1976-1977,9.00,3.00,333
Jammu & Kashmir,Total,Kulthi (Horse Gram),1976-1977,3.00,1.00,333
Karnataka,Total,Kulthi (Horse Gram),1976-1977,384.00,110.00,286
Madhya Pradesh,Total,Kulthi (Horse Gram),1976-1977,205.00,47.00,230
Maharashtra,Total,Kulthi (Horse Gram),1976-1977,300.00,92.00,308
Odisha,Total,Kulthi (Horse Gram),1976-1977,205.00,79.00,388
Tamil Nadu,Total,Kulthi (Horse Gram),1976-1977,197.00,46.00,232
West Bengal,Total,Kulthi (Horse Gram),1976-1977,4.00,2.00,595
India,Total,Kulthi (Horse Gram),1976-1977,1731.00,482.00,278
Andhra Pradesh,Kharif,Kulthi (Horse Gram),1977-1978,138.00,33.00,238
Bihar,Kharif,Kulthi (Horse Gram),1977-1978,120.00,49.00,412
Himachal Pradesh,Kharif,Kulthi (Horse Gram),1977-1978,5.00,2.00,404
Jammu & Kashmir,Kharif,Kulthi (Horse Gram),1977-1978,3.00,1.00,324
Karnataka,Kharif,Kulthi (Horse Gram),1977-1978,433.00,216.00,498
Madhya Pradesh,Kharif,Kulthi (Horse Gram),1977-1978,189.00,56.00,299
Maharashtra,Kharif,Kulthi (Horse Gram),1977-1978,260.00,79.00,304
Odisha,Kharif,Kulthi (Horse Gram),1977-1978,9.00,4.00,478
Tamil Nadu,Kharif,Kulthi (Horse Gram),1977-1978,193.00,46.00,236
India,Kharif,Kulthi (Horse Gram),1977-1978,1350.00,486.00,360
Andhra Pradesh,Rabi,Kulthi (Horse Gram),1977-1978,208.00,52.00,252
Karnataka,Rabi,Kulthi (Horse Gram),1977-1978,118.00,17.00,140
Madhya Pradesh,Rabi,Kulthi (Horse Gram),1977-1978,8.00,2.00,286
Maharashtra,Rabi,Kulthi (Horse Gram),1977-1978,13.00,2.00,158
Odisha,Rabi,Kulthi (Horse Gram),1977-1978,301.00,139.00,461
West Bengal,Rabi,Kulthi (Horse Gram),1977-1978,5.00,2.00,489
India,Rabi,Kulthi (Horse Gram),1977-1978,652.00,214.00,328
Andhra Pradesh,Total,Kulthi (Horse Gram),1977-1978,345.00,85.00,247
Bihar,Total,Kulthi (Horse Gram),1977-1978,120.00,49.00,412
Himachal Pradesh,Total,Kulthi (Horse Gram),1977-1978,5.00,2.00,404
Jammu & Kashmir,Total,Kulthi (Horse Gram),1977-1978,3.00,1.00,324
