States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Assam,,Masoor (Lentil),1970-1971,16.00,6.00,375
Bihar,,Masoor (Lentil),1970-1971,141.00,90.00,638
Haryana,,Masoor (Lentil),1970-1971,26.00,5.00,192
Himachal Pradesh,,Masoor (Lentil),1970-1971,3.00,1.00,333
Jammu & Kashmir,,Masoor (Lentil),1970-1971,1.00,-,-
Madhya Pradesh,,Masoor (Lentil),1970-1971,272.00,109.00,401
Maharashtra,,Masoor (Lentil),1970-1971,12.00,3.00,250
Punjab,,Masoor (Lentil),1970-1971,13.00,5.00,385
Rajasthan,,Masoor (Lentil),1970-1971,9.00,7.00,778
Uttar Pradesh,,Masoor (Lentil),1970-1971,166.00,100.00,602
West Bengal,,Masoor (Lentil),1970-1971,95.00,46.00,484
India,,Masoor (Lentil),1970-1971,754.00,375.00,497
Assam,,Masoor (Lentil),1971-1972,7.00,3.00,429
Haryana,,Masoor (Lentil),1971-1972,29.00,12.00,414
Himachal Pradesh,,Masoor (Lentil),1971-1972,3.00,1.00,333
Jammu & Kashmir,,Masoor (Lentil),1971-1972,1.00,-,-
Madhya Pradesh,,Masoor (Lentil),1971-1972,265.00,103.00,389
Maharashtra,,Masoor (Lentil),1971-1972,13.00,3.00,231
Punjab,,Masoor (Lentil),1971-1972,13.00,5.00,385
Rajasthan,,Masoor (Lentil),1971-1972,10.00,8.00,800
Uttar Pradesh,,Masoor (Lentil),1971-1972,176.00,113.00,642
West Bengal,,Masoor (Lentil),1971-1972,108.00,52.00,481
India,,Masoor (Lentil),1971-1972,625.00,301.00,482
Assam,,Masoor (Lentil),1972-1973,14.00,6.00,429
Bihar,,Masoor (Lentil),1972-1973,151.00,61.00,404
Haryana,,Masoor (Lentil),1972-1973,38.00,15.00,395
Himachal Pradesh,,Masoor (Lentil),1972-1973,3.00,1.00,333
Jammu & Kashmir,,Masoor (Lentil),1972-1973,1.00,1.00,1000
Madhya Pradesh,,Masoor (Lentil),1972-1973,294.00,113.00,384
Maharashtra,,Masoor (Lentil),1972-1973,10.00,2.00,200
Punjab,,Masoor (Lentil),1972-1973,17.00,7.00,412
Rajasthan,,Masoor (Lentil),1972-1973,10.00,9.00,900
