States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Andhra Pradesh,Kharif,Moong,1996-1997,353.00,174.00,493
Bihar,Kharif,Moong,1996-1997,7.00,4.00,535
Gujarat,Kharif,Moong,1996-1997,162.00,66.00,407
Haryana,Kharif,Moong,1996-1997,13.00,6.00,500
Jammu & Kashmir,Kharif,Moong,1996-1997,2.00,1.00,381
Karnataka,Kharif,Moong,1996-1997,303.00,56.00,184
Kerala,Kharif,Moong,1996-1997,1.00,0.00,500
Madhya Pradesh,Kharif,Moong,1996-1997,111.00,39.00,346
Maharashtra,Kharif,Moong,1996-1997,641.00,339.00,528
Odisha,Kharif,Moong,1996-1997,95.00,18.00,192
Punjab,Kharif,Moong,1996-1997,50.00,43.00,853
Rajasthan,Kharif,Moong,1996-1997,592.00,246.00,415
Tamil Nadu,Kharif,Moong,1996-1997,46.00,19.00,408
Tripura,Kharif,Moong,1996-1997,1.00,1.00,538
Uttar Pradesh,Kharif,Moong,1996-1997,29.00,9.00,298
West Bengal,Kharif,Moong,1996-1997,2.00,1.00,421
India,Kharif,Moong,1996-1997,2408.00,1020.00,423
Andhra Pradesh,Rabi,Moong,1996-1997,138.00,57.00,413
Assam,Rabi,Moong,1996-1997,8.00,3.00,427
Bihar,Rabi,Moong,1996-1997,182.00,103.00,566
Gujarat,Rabi,Moong,1996-1997,3.00,1.00,560
Karnataka,Rabi,Moong,1996-1997,15.00,5.00,311
Kerala,Rabi,Moong,1996-1997,-,2.00,-
Madhya Pradesh,Rabi,Moong,1996-1997,9.00,12.00,1309
Maharashtra,Rabi,Moong,1996-1997,21.00,22.00,1047
Odisha,Rabi,Moong,1996-1997,107.00,1.00,10
Puducherry,Rabi,Moong,1996-1997,2.00,-,-
Rajasthan,Rabi,Moong,1996-1997,-,25.00,-
Tamil Nadu,Rabi,Moong,1996-1997,62.00,-,-
Uttar Pradesh,Rabi,Moong,1996-1997,96.00,63.00,655
West Bengal,Rabi,Moong,1996-1997,14.00,5.00,368
India,Rabi,Moong,1996-1997,655.00,299.00,457
Andhra Pradesh,Total,Moong,1996-1997,491.00,231.00,470
Assam,Total,Moong,1996-1997,8.00,3.00,427
Bihar,Total,Moong,1996-1997,189.00,107.00,564
Gujarat,Total,Moong,1996-1997,165.00,67.00,410
Haryana,Total,Moong,1996-1997,13.00,6.00,500
Jammu & Kashmir,Total,Moong,1996-1997,2.00,1.00,381
Karnataka,Total,Moong,1996-1997,318.00,60.00,190
Kerala,Total,Moong,1996-1997,1.00,3.00,4500
Madhya Pradesh,Total,Moong,1996-1997,121.00,51.00,421
Maharashtra,Total,Moong,1996-1997,662.00,361.00,545
Odisha,Total,Moong,1996-1997,203.00,19.00,96
Punjab,Total,Moong,1996-1997,50.00,43.00,860
Puducherry,Total,Moong,1996-1997,2.00,-,-
Rajasthan,Total,Moong,1996-1997,592.00,271.00,457
Tamil Nadu,Total,Moong,1996-1997,108.00,19.00,175
Tripura,Total,Moong,1996-1997,1.00,1.00,1000
Uttar Pradesh,Total,Moong,1996-1997,125.00,72.00,576
West Bengal,Total,Moong,1996-1997,16.00,6.00,374
India,Total,Moong,1996-1997,3063.00,1319.00,431
Andhra Pradesh,Kharif,Moong,1997-1998,317.00,81.00,256
Bihar,Kharif,Moong,1997-1998,8.00,4.00,455
Gujarat,Kharif,Moong,1997-1998,179.00,101.00,567
Haryana,Kharif,Moong,1997-1998,14.00,7.00,510
Jammu & Kashmir,Kharif,Moong,1997-1998,3.00,1.00,500
Karnataka,Kharif,Moong,1997-1998,238.00,32.00,136
Kerala,Kharif,Moong,1997-1998,4.00,3.00,732
Madhya Pradesh,Kharif,Moong,1997-1998,109.00,37.00,342
Maharashtra,Kharif,Moong,1997-1998,613.00,191.00,312
Odisha,Kharif,Moong,1997-1998,142.00,30.00,210
Punjab,Kharif,Moong,1997-1998,49.00,32.00,643
Rajasthan,Kharif,Moong,1997-1998,631.00,164.00,260
Tamil Nadu,Kharif,Moong,1997-1998,46.00,17.00,358
Tripura,Kharif,Moong,1997-1998,1.00,1.00,545
Uttar Pradesh,Kharif,Moong,1997-1998,28.00,8.00,292
West Bengal,Kharif,Moong,1997-1998,2.00,1.00,467
India,Kharif,Moong,1997-1998,2384.00,710.00,298
Andhra Pradesh,Rabi,Moong,1997-1998,138.00,53.00,386
Assam,Rabi,Moong,1997-1998,9.00,4.00,437
Bihar,Rabi,Moong,1997-1998,180.00,89.00,494
Gujarat,Rabi,Moong,1997-1998,3.00,2.00,621
Karnataka,Rabi,Moong,1997-1998,17.00,4.00,222
Madhya Pradesh,Rabi,Moong,1997-1998,9.00,2.00,225
Maharashtra,Rabi,Moong,1997-1998,12.00,5.00,387
Odisha,Rabi,Moong,1997-1998,107.00,22.00,207
Puducherry,Rabi,Moong,1997-1998,3.00,1.00,320
Tamil Nadu,Rabi,Moong,1997-1998,61.00,22.00,359
Uttar Pradesh,Rabi,Moong,1997-1998,85.00,34.00,402
West Bengal,Rabi,Moong,1997-1998,13.00,5.00,374
India,Rabi,Moong,1997-1998,633.00,240.00,379
Andhra Pradesh,Total,Moong,1997-1998,455.00,134.00,295
Assam,Total,Moong,1997-1998,9.00,4.00,437
Bihar,Total,Moong,1997-1998,187.00,92.00,492
Gujarat,Total,Moong,1997-1998,182.00,103.00,567
Haryana,Total,Moong,1997-1998,14.00,7.00,510
Jammu & Kashmir,Total,Moong,1997-1998,3.00,1.00,500
Karnataka,Total,Moong,1997-1998,255.00,36.00,142
Kerala,Total,Moong,1997-1998,4.00,3.00,732
Madhya Pradesh,Total,Moong,1997-1998,118.00,39.00,333
Maharashtra,Total,Moong,1997-1998,625.00,196.00,313
Odisha,Total,Moong,1997-1998,250.00,52.00,208
Puducherry,Total,Moong,1997-1998,3.00,1.00,320
Punjab,Total,Moong,1997-1998,49.00,32.00,643
Rajasthan,Total,Moong,1997-1998,631.00,164.00,260
Tamil Nadu,Total,Moong,1997-1998,107.00,39.00,358
Tripura,Total,Moong,1997-1998,1.00,1.00,500
Uttar Pradesh,Total,Moong,1997-1998,113.00,42.00,374
West Bengal,Total,Moong,1997-1998,15.00,6.00,384
India,Total,Moong,1997-1998,3017.00,950.00,315
Andhra Pradesh,Kharif,Moong,1998-1999,333.00,163.00,489
Bihar,Kharif,Moong,1998-1999,9.00,4.00,427
Gujarat,Kharif,Moong,1998-1999,174.00,69.00,397
Haryana,Kharif,Moong,1998-1999,19.00,5.00,260
Jammu & Kashmir,Kharif,Moong,1998-1999,2.00,1.00,500
Karnataka,Kharif,Moong,1998-1999,312.00,61.00,196
Kerala,Kharif,Moong,1998-1999,4.00,3.00,757
Madhya Pradesh,Kharif,Moong,1998-1999,104.00,35.00,332
Maharashtra,Kharif,Moong,1998-1999,649.00,376.00,579
Odisha,Kharif,Moong,1998-1999,129.00,23.00,176
Punjab,Kharif,Moong,1998-1999,42.00,26.00,605
Rajasthan,Kharif,Moong,1998-1999,564.00,59.00,104
Tamil Nadu,Kharif,Moong,1998-1999,59.00,32.00,543
Tripura,Kharif,Moong,1998-1999,1.00,-,-
Uttar Pradesh,Kharif,Moong,1998-1999,26.00,6.00,217
West Bengal,Kharif,Moong,1998-1999,1.00,-,-
India,Kharif,Moong,1998-1999,2428.00,862.00,355
Andhra Pradesh,Rabi,Moong,1998-1999,137.00,54.00,394
Assam,Rabi,Moong,1998-1999,8.00,4.00,443
Bihar,Rabi,Moong,1998-1999,185.00,122.00,659
Gujarat,Rabi,Moong,1998-1999,3.00,2.00,552
Karnataka,Rabi,Moong,1998-1999,16.00,7.00,449
Madhya Pradesh,Rabi,Moong,1998-1999,9.00,2.00,244
Maharashtra,Rabi,Moong,1998-1999,15.00,6.00,423
Odisha,Rabi,Moong,1998-1999,93.00,22.00,238
Puducherry,Rabi,Moong,1998-1999,3.00,1.00,480
Tamil Nadu,Rabi,Moong,1998-1999,65.00,35.00,541
Tripura,Rabi,Moong,1998-1999,1.00,-,-
Uttar Pradesh,Rabi,Moong,1998-1999,84.00,42.00,497
West Bengal,Rabi,Moong,1998-1999,12.00,5.00,383
India,Rabi,Moong,1998-1999,626.00,300.00,479
Andhra Pradesh,Total,Moong,1998-1999,470.00,217.00,462
Assam,Total,Moong,1998-1999,8.00,4.00,443
Bihar,Total,Moong,1998-1999,193.00,125.00,648
Gujarat,Total,Moong,1998-1999,177.00,71.00,399
Haryana,Total,Moong,1998-1999,19.00,5.00,260
Jammu & Kashmir,Total,Moong,1998-1999,2.00,1.00,500
Karnataka,Total,Moong,1998-1999,327.00,68.00,208
Kerala,Total,Moong,1998-1999,4.00,3.00,757
Madhya Pradesh,Total,Moong,1998-1999,113.00,37.00,325
Maharashtra,Total,Moong,1998-1999,664.00,382.00,575
Odisha,Total,Moong,1998-1999,222.00,45.00,202
Punjab,Total,Moong,1998-1999,42.00,26.00,605
Rajasthan,Total,Moong,1998-1999,564.00,59.00,104
Tamil Nadu,Total,Moong,1998-1999,124.00,67.00,542
Tripura,Total,Moong,1998-1999,1.00,1.00,462
Uttar Pradesh,Total,Moong,1998-1999,110.00,47.00,430
West Bengal,Total,Moong,1998-1999,13.00,5.00,391
India,Total,Moong,1998-1999,3054.00,1162.00,380
Andhra Pradesh,Kharif,Moong,1999-2000,321.00,175.00,545
Bihar,Kharif,Moong,1999-2000,11.00,6.00,533
Gujarat,Kharif,Moong,1999-2000,108.00,26.00,243
Haryana,Kharif,Moong,1999-2000,11.00,2.00,204
Himachal Pradesh,Kharif,Moong,1999-2000,1.00,-,-
Jammu & Kashmir,Kharif,Moong,1999-2000,2.00,1.00,476
Karnataka,Kharif,Moong,1999-2000,376.00,130.00,346
Kerala,Kharif,Moong,1999-2000,3.00,2.00,767
Madhya Pradesh,Kharif,Moong,1999-2000,100.00,31.00,309
Maharashtra,Kharif,Moong,1999-2000,657.00,306.00,466
Odisha,Kharif,Moong,1999-2000,130.00,25.00,193
Punjab,Kharif,Moong,1999-2000,39.00,23.00,593
Rajasthan,Kharif,Moong,1999-2000,415.00,41.00,99
Tamil Nadu,Kharif,Moong,1999-2000,48.00,26.00,532
Tripura,Kharif,Moong,1999-2000,1.00,-,-
Uttar Pradesh,Kharif,Moong,1999-2000,27.00,8.00,296
West Bengal,Kharif,Moong,1999-2000,1.00,-,500
India,Kharif,Moong,1999-2000,2250.00,803.00,357
Andhra Pradesh,Rabi,Moong,1999-2000,138.00,36.00,261
Assam,Rabi,Moong,1999-2000,8.00,4.00,449
Bihar,Rabi,Moong,1999-2000,173.00,95.00,551
Gujarat,Rabi,Moong,1999-2000,6.00,3.00,473
Karnataka,Rabi,Moong,1999-2000,17.00,4.00,249
Madhya Pradesh,Rabi,Moong,1999-2000,9.00,3.00,278
Maharashtra,Rabi,Moong,1999-2000,17.00,8.00,460
Odisha,Rabi,Moong,1999-2000,61.00,14.00,229
Puducherry,Rabi,Moong,1999-2000,3.00,1.00,520
Tamil Nadu,Rabi,Moong,1999-2000,129.00,51.00,396
Uttar Pradesh,Rabi,Moong,1999-2000,82.00,50.00,608
West Bengal,Rabi,Moong,1999-2000,19.00,9.00,458
India,Rabi,Moong,1999-2000,656.00,275.00,418
Andhra Pradesh,Total,Moong,1999-2000,459.00,211.00,459
Assam,Total,Moong,1999-2000,8.00,4.00,449
Bihar,Total,Moong,1999-2000,184.00,101.00,550
Gujarat,Total,Moong,1999-2000,113.00,29.00,254
Haryana,Total,Moong,1999-2000,11.00,2.00,204
Himachal Pradesh,Total,Moong,1999-2000,1.00,-,-
Jammu & Kashmir,Total,Moong,1999-2000,2.00,1.00,476
Karnataka,Total,Moong,1999-2000,393.00,134.00,341
Kerala,Total,Moong,1999-2000,3.00,2.00,767
Madhya Pradesh,Total,Moong,1999-2000,109.00,34.00,306
Maharashtra,Total,Moong,1999-2000,675.00,314.00,466
Odisha,Total,Moong,1999-2000,191.00,39.00,204
Puducherry,Total,Moong,1999-2000,3.00,1.00,520
Punjab,Total,Moong,1999-2000,-,23.00,-
Rajasthan,Total,Moong,1999-2000,-,41.00,-
Tamil Nadu,Total,Moong,1999-2000,177.00,77.00,433
Tripura,Total,Moong,1999-2000,1.00,1.00,1000
Uttar Pradesh,Total,Moong,1999-2000,109.00,58.00,530
West Bengal,Total,Moong,1999-2000,20.00,9.00,459
India,Total,Moong,1999-2000,2909.00,1077.00,370
Andhra Pradesh,Kharif,Moong,2000-2001,392.00,141.00,360
Bihar,Kharif,Moong,2000-2001,9.00,5.00,565
Chhattisgarh,Kharif,Moong,2000-2001,10.00,3.00,265
Gujarat,Kharif,Moong,2000-2001,150.00,38.00,256
Haryana,Kharif,Moong,2000-2001,10.00,2.00,184
Jammu & Kashmir,Kharif,Moong,2000-2001,2.00,1.00,450
Jharkhand,Kharif,Moong,2000-2001,1.00,1.00,538
Karnataka,Kharif,Moong,2000-2001,435.00,181.00,415
Kerala,Kharif,Moong,2000-2001,2.00,1.00,824
Madhya Pradesh,Kharif,Moong,2000-2001,87.00,22.00,254
Maharashtra,Kharif,Moong,2000-2001,714.00,244.00,341
Odisha,Kharif,Moong,2000-2001,99.00,16.00,164
Punjab,Kharif,Moong,2000-2001,30.00,18.00,624
Rajasthan,Kharif,Moong,2000-2001,458.00,79.00,173
Tamil Nadu,Kharif,Moong,2000-2001,52.00,24.00,462
Tripura,Kharif,Moong,2000-2001,2.00,1.00,474
Uttar Pradesh,Kharif,Moong,2000-2001,28.00,9.00,303
West Bengal,Kharif,Moong,2000-2001,1.00,-,-
India,Kharif,Moong,2000-2001,2482.00,786.00,317
Andhra Pradesh,Rabi,Moong,2000-2001,128.00,43.00,335
Assam,Rabi,Moong,2000-2001,7.00,3.00,459
Bihar,Rabi,Moong,2000-2001,178.00,103.00,582
Chhattisgarh,Rabi,Moong,2000-2001,4.00,1.00,209
Gujarat,Rabi,Moong,2000-2001,3.00,2.00,667
Karnataka,Rabi,Moong,2000-2001,16.00,4.00,265
Madhya Pradesh,Rabi,Moong,2000-2001,3.00,1.00,222
Odisha,Rabi,Moong,2000-2001,49.00,13.00,268
Puducherry,Rabi,Moong,2000-2001,3.00,1.00,560
Tamil Nadu,Rabi,Moong,2000-2001,76.00,37.00,485
Uttar Pradesh,Rabi,Moong,2000-2001,53.00,24.00,452
West Bengal,Rabi,Moong,2000-2001,11.00,6.00,585
India,Rabi,Moong,2000-2001,527.00,237.00,449
Andhra Pradesh,Total,Moong,2000-2001,520.00,184.00,354
Assam,Total,Moong,2000-2001,7.00,3.00,459
Bihar,Total,Moong,2000-2001,187.00,108.00,578
Chhattisgarh,Total,Moong,2000-2001,14.00,4.00,286
Gujarat,Total,Moong,2000-2001,153.00,40.00,264
Haryana,Total,Moong,2000-2001,10.00,2.00,184
Jammu & Kashmir,Total,Moong,2000-2001,2.00,1.00,450
Jharkhand,Total,Moong,2000-2001,1.00,1.00,538
Karnataka,Total,Moong,2000-2001,451.00,185.00,410
Kerala,Total,Moong,2000-2001,2.00,1.00,824
