States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Haryana,Kharif,Moth,1970-1971,12.00,5.00,417
Jammu & Kashmir,Kharif,Moth,1970-1971,11.00,10.00,906
Maharashtra,Kharif,Moth,1970-1971,147.00,41.00,277
Punjab,Kharif,Moth,1970-1971,2.00,1.00,500
Rajasthan,Kharif,Moth,1970-1971,1556.00,404.00,260
Uttar Pradesh,Kharif,Moth,1970-1971,8.00,2.00,250
India,Kharif,Moth,1970-1971,1736.00,463.00,267
Haryana,Kharif,Moth,1971-1972,9.00,4.00,444
Jammu & Kashmir,Kharif,Moth,1971-1972,11.00,9.00,754
Maharashtra,Kharif,Moth,1971-1972,114.00,26.00,227
Punjab,Kharif,Moth,1971-1972,2.00,1.00,500
Rajasthan,Kharif,Moth,1971-1972,1564.00,265.00,170
Uttar Pradesh,Kharif,Moth,1971-1972,8.00,3.00,375
India,Kharif,Moth,1971-1972,1709.00,308.00,180
Haryana,Kharif,Moth,1972-1973,5.00,2.00,400
Jammu & Kashmir,Kharif,Moth,1972-1973,10.00,7.00,693
Maharashtra,Kharif,Moth,1972-1973,63.00,12.00,197
Punjab,Kharif,Moth,1972-1973,3.00,1.00,333
Rajasthan,Kharif,Moth,1972-1973,1474.00,75.00,51
Uttar Pradesh,Kharif,Moth,1972-1973,8.00,4.00,500
India,Kharif,Moth,1972-1973,1563.00,101.00,64
Haryana,Kharif,Moth,1973-1974,7.00,1.00,143
Maharashtra,Kharif,Moth,1973-1974,162.00,43.00,264
Punjab,Kharif,Moth,1973-1974,3.00,1.00,333
Rajasthan,Kharif,Moth,1973-1974,1522.00,377.00,248
Uttar Pradesh,Kharif,Moth,1973-1974,8.00,2.00,250
India,Kharif,Moth,1973-1974,1702.00,424.00,249
Haryana,Kharif,Moth,1974-1975,8.00,3.00,375
Jammu & Kashmir,Kharif,Moth,1974-1975,13.00,9.00,738
Maharashtra,Kharif,Moth,1974-1975,167.00,52.00,313
Punjab,Kharif,Moth,1974-1975,2.00,1.00,500
Rajasthan,Kharif,Moth,1974-1975,1578.00,84.00,53
Uttar Pradesh,Kharif,Moth,1974-1975,7.00,2.00,286
India,Kharif,Moth,1974-1975,1774.00,151.00,85
Haryana,Kharif,Moth,1975-1976,10.00,7.00,700
Jammu & Kashmir,Kharif,Moth,1975-1976,11.00,7.00,617
Maharashtra,Kharif,Moth,1975-1976,194.00,64.00,331
Punjab,Kharif,Moth,1975-1976,2.00,1.00,500
Rajasthan,Kharif,Moth,1975-1976,1805.00,371.00,205
Uttar Pradesh,Kharif,Moth,1975-1976,7.00,2.00,286
India,Kharif,Moth,1975-1976,2030.00,452.00,223
Haryana,Kharif,Moth,1976-1977,9.00,7.00,778
Jammu & Kashmir,Kharif,Moth,1976-1977,11.00,6.00,547
Maharashtra,Kharif,Moth,1976-1977,178.00,53.00,297
Punjab,Kharif,Moth,1976-1977,1.00,1.00,1000
Rajasthan,Kharif,Moth,1976-1977,1790.00,424.00,237
Uttar Pradesh,Kharif,Moth,1976-1977,7.00,2.00,286
India,Kharif,Moth,1976-1977,1997.00,493.00,247
Haryana,Kharif,Moth,1977-1978,3.00,2.00,667
Jammu & Kashmir,Kharif,Moth,1977-1978,9.00,6.00,670
Maharashtra,Kharif,Moth,1977-1978,173.00,51.00,294
Rajasthan,Kharif,Moth,1977-1978,1534.00,371.00,243
Uttar Pradesh,Kharif,Moth,1977-1978,6.00,2.00,333
India,Kharif,Moth,1977-1978,1726.00,432.00,250
Haryana,Kharif,Moth,1978-1979,2.00,1.00,500
Jammu & Kashmir,Kharif,Moth,1978-1979,10.00,10.00,971
Maharashtra,Kharif,Moth,1978-1979,163.00,41.00,252
Punjab,Kharif,Moth,1978-1979,1.00,1.00,1000
Rajasthan,Kharif,Moth,1978-1979,1218.00,154.00,127
Uttar Pradesh,Kharif,Moth,1978-1979,5.00,1.00,200
India,Kharif,Moth,1978-1979,1400.00,208.00,149
Haryana,Kharif,Moth,1979-1980,1.00,1.00,1000
Jammu & Kashmir,Kharif,Moth,1979-1980,10.00,9.00,876
Maharashtra,Kharif,Moth,1979-1980,146.00,37.00,252
Rajasthan,Kharif,Moth,1979-1980,1123.00,34.00,31
Uttar Pradesh,Kharif,Moth,1979-1980,3.00,-,-
India,Kharif,Moth,1979-1980,1283.00,81.00,63
Haryana,Kharif,Moth,1980-1981,1.00,1.00,1000
Jammu & Kashmir,Kharif,Moth,1980-1981,11.00,13.00,1144
Maharashtra,Kharif,Moth,1980-1981,174.00,33.00,188
Punjab,Kharif,Moth,1980-1981,1.00,1.00,1000
Rajasthan,Kharif,Moth,1980-1981,1330.00,161.00,121
Uttar Pradesh,Kharif,Moth,1980-1981,4.00,1.00,250
India,Kharif,Moth,1980-1981,1520.00,208.00,137
Haryana,Kharif,Moth,1981-1982,2.00,1.00,500
Jammu & Kashmir,Kharif,Moth,1981-1982,11.00,12.00,1151
Maharashtra,Kharif,Moth,1981-1982,159.00,35.00,219
Punjab,Kharif,Moth,1981-1982,1.00,-,-
Rajasthan,Kharif,Moth,1981-1982,1257.00,158.00,126
Uttar Pradesh,Kharif,Moth,1981-1982,4.00,1.00,250
India,Kharif,Moth,1981-1982,1434.00,207.00,145
Gujarat,Kharif,Moth,1982-1983,76.00,33.00,434
Haryana,Kharif,Moth,1982-1983,1.00,1.00,1000
Jammu & Kashmir,Kharif,Moth,1982-1983,12.00,12.00,959
Maharashtra,Kharif,Moth,1982-1983,109.00,26.00,247
Punjab,Kharif,Moth,1982-1983,1.00,1.00,1000
Rajasthan,Kharif,Moth,1982-1983,1208.00,143.00,119
Uttar Pradesh,Kharif,Moth,1982-1983,3.00,-,-
India,Kharif,Moth,1982-1983,1411.00,216.00,153
Gujarat,Kharif,Moth,1983-1984,103.00,44.00,432
Haryana,Kharif,Moth,1983-1984,1.00,1.00,1000
Jammu & Kashmir,Kharif,Moth,1983-1984,10.00,11.00,1039
Maharashtra,Kharif,Moth,1983-1984,148.00,46.00,311
Punjab,Kharif,Moth,1983-1984,2.00,1.00,500
Rajasthan,Kharif,Moth,1983-1984,1275.00,315.00,247
Uttar Pradesh,Kharif,Moth,1983-1984,3.00,-,-
India,Kharif,Moth,1983-1984,1542.00,418.00,271
Gujarat,Kharif,Moth,1984-1985,91.00,29.00,314
Jammu & Kashmir,Kharif,Moth,1984-1985,10.00,11.00,1039
Maharashtra,Kharif,Moth,1984-1985,120.00,36.00,297
Punjab,Kharif,Moth,1984-1985,2.00,1.00,500
Rajasthan,Kharif,Moth,1984-1985,1220.00,192.00,157
Uttar Pradesh,Kharif,Moth,1984-1985,2.00,-,-
India,Kharif,Moth,1984-1985,1446.00,268.00,186
Gujarat,Kharif,Moth,1985-1986,84.00,5.00,57
Haryana,Kharif,Moth,1985-1986,-,1.00,-
Jammu & Kashmir,Kharif,Moth,1985-1986,9.00,10.00,1043
Maharashtra,Kharif,Moth,1985-1986,125.00,38.00,306
Punjab,Kharif,Moth,1985-1986,1.00,1.00,1000
Rajasthan,Kharif,Moth,1985-1986,1247.00,49.00,39
Uttar Pradesh,Kharif,Moth,1985-1986,2.00,-,-
India,Kharif,Moth,1985-1986,1469.00,103.00,70
Gujarat,Kharif,Moth,1986-1987,70.00,4.00,62
Jammu & Kashmir,Kharif,Moth,1986-1987,9.00,10.00,1130
Maharashtra,Kharif,Moth,1986-1987,137.00,35.00,254
Punjab,Kharif,Moth,1986-1987,1.00,1.00,1000
Rajasthan,Kharif,Moth,1986-1987,1173.00,43.00,37
Uttar Pradesh,Kharif,Moth,1986-1987,2.00,-,-
India,Kharif,Moth,1986-1987,1391.00,93.00,67
Gujarat,Kharif,Moth,1987-1988,20.00,1.00,35
Jammu & Kashmir,Kharif,Moth,1987-1988,6.00,7.00,1079
Maharashtra,Kharif,Moth,1987-1988,135.00,32.00,238
Punjab,Kharif,Moth,1987-1988,1.00,-,-
Rajasthan,Kharif,Moth,1987-1988,723.00,7.00,9
Uttar Pradesh,Kharif,Moth,1987-1988,2.00,-,-
India,Kharif,Moth,1987-1988,886.00,47.00,53
Gujarat,Kharif,Moth,1988-1989,49.00,17.00,342
