States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)",,
Assam,Rabi,Pea,1976-1977,8.2,2.9,354,,
Bihar,Rabi,Pea,1976-1977,43.7,20.7,474,,
Haryana,Rabi,Pea,1976-1977,13.2,5.5,417,,
Jammu & Kashmir*,Rabi,Pea,1976-1977,3.3 ,2.6,788,,
Madhya Pradesh,Rabi,Pea,1976-1977,96.7,27.4,283,,
Maharashtra,Rabi,Pea,1976-1977,10.2,4.1,402,,
Punjab,Rabi,Pea,1976-1977,3.6,1.6,444,,
Rajasthan,Rabi,Pea,1976-1977,12.3,7.2,585,,
Tripura,Rabi,Pea,1976-1977,1,0.6,600,,
Uttar Pradesh,Rabi,Pea,1976-1977,479.5,360.1,751,,
West Bengal,Rabi,Pea,1976-1977,6.5,3.7,569,,
India,Rabi,Pea,1976-1977,678.2,436.4,643,,
Assam,Rabi,Pea,1977-1978,12.5,4.4,352,,
Bihar,Rabi,Pea,1977-1978,41.8,19.3,462,,
Haryana,Rabi,Pea,1977-1978,12.1,5.7,471,,
Jammu & Kashmir*,Rabi,Pea,1977-1978,4.1,3.3,805,,
Kerala*,Rabi,Pea,1977-1978,2.1,0.8,381,,
Madhya Pradesh,Rabi,Pea,1977-1978,94.6,22.1,234,,
Maharashtra,Rabi,Pea,1977-1978,10.6,3.6,340,,
Rajasthan,Rabi,Pea,1977-1978,12.8,7.3,570,,
Tripura,Rabi,Pea,1977-1978,0.7,0.3,429,,
Uttar Pradesh,Rabi,Pea,1977-1978,401,287.3,716,,
West Bengal,Rabi,Pea,1977-1978,4.6,1.7,370,,
India,Rabi,Pea,1977-1978,596.9,355.8,596,,
Assam,Rabi,Pea,1978-1979,14,3.4,243,,
Bihar,Rabi,Pea,1978-1979,44.4,20.3,457,,
Haryana,Rabi,Pea,1978-1979,13.6,6.4,471,,
Jammu & Kashmir*,Rabi,Pea,1978-1979,4.4,4.2,955,,
Kerala*,Rabi,Pea,1978-1979,2.9,1.4,483,,
Madhya Pradesh,Rabi,Pea,1978-1979,105.3,30.1,286,,
Maharashtra,Rabi,Pea,1978-1979,11.2,3.8,339,,
Punjab,Rabi,Pea,1978-1979,4.2,1.5,357,,
Rajasthan,Rabi,Pea,1978-1979,13.7,7.6,555,,
Tripura,Rabi,Pea,1978-1979,0.4,0.2,500,,
Uttar Pradesh,Rabi,Pea,1978-1979,378.4,269.9,713,,
West Bengal,Rabi,Pea,1978-1979,5.7,1.5,263,,
India,Rabi,Pea,1978-1979,598.2,350.3,586,,
Assam,Rabi,Pea,1979-1980,16,5.7,356,,
Bihar,Rabi,Pea,1979-1980,37.6,19.3,513,,
Haryana,Rabi,Pea,1979-1980,5.8,1,172,,
Jammu & Kashmir*,Rabi,Pea,1979-1980,4.1,4,976,,
Kerala*,Rabi,Pea,1979-1980,9.7,4.1,423,,
Madhya Pradesh,Rabi,Pea,1979-1980,100.5,20.5,204,,
Maharashtra,Rabi,Pea,1979-1980,7.3,3.3,452,,
