States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Andhra Pradesh,,Total Kharif Pulses,1970-1971,874.00,243.00,278
Assam,,Total Kharif Pulses,1970-1971,4.00,3.00,707
Bihar,,Total Kharif Pulses,1970-1971,428.00,264.00,616
Dadra & Nagar Haveli  ,,Total Kharif Pulses,1970-1971,1.00,1.00,-
Gujarat,,Total Kharif Pulses,1970-1971,321.00,101.00,315
Haryana,,Total Kharif Pulses,1970-1971,54.00,23.00,432
Himachal Pradesh,,Total Kharif Pulses,1970-1971,41.00,14.00,342
Jammu & Kashmir,,Total Kharif Pulses,1970-1971,42.00,28.00,660
Karnataka,,Total Kharif Pulses,1970-1971,895.00,328.00,367
Kerala,,Total Kharif Pulses,1970-1971,19.00,6.00,307
Madhya Pradesh,,Total Kharif Pulses,1970-1971,1388.00,650.00,468
Maharashtra,,Total Kharif Pulses,1970-1971,1892.00,624.00,330
Odisha,,Total Kharif Pulses,1970-1971,172.00,104.00,605
Punjab,,Total Kharif Pulses,1970-1971,38.00,18.00,470
Rajasthan,,Total Kharif Pulses,1970-1971,1983.00,568.00,286
Tamil Nadu,,Total Kharif Pulses,1970-1971,477.00,114.00,239
Tripura,,Total Kharif Pulses,1970-1971,1.00,-,-
Uttar Pradesh,,Total Kharif Pulses,1970-1971,756.00,736.00,974
West Bengal,,Total Kharif Pulses,1970-1971,76.00,53.00,692
India,,Total Kharif Pulses,1970-1971,9464.00,3879.00,410
Andhra Pradesh,,Total Kharif Pulses,1971-1972,786.00,192.00,244
Assam,,Total Kharif Pulses,1971-1972,4.00,3.00,714
Bihar,,Total Kharif Pulses,1971-1972,343.00,135.00,394
Dadra & Nagar Haveli  ,,Total Kharif Pulses,1971-1972,2.00,1.00,-
Delhi,,Total Kharif Pulses,1971-1972,1.00,-,-
Gujarat,,Total Kharif Pulses,1971-1972,326.00,102.00,313
Haryana,,Total Kharif Pulses,1971-1972,39.00,18.00,459
Himachal Pradesh,,Total Kharif Pulses,1971-1972,42.00,15.00,346
Jammu & Kashmir,,Total Kharif Pulses,1971-1972,44.00,26.00,592
Karnataka,,Total Kharif Pulses,1971-1972,1061.00,381.00,359
Kerala,,Total Kharif Pulses,1971-1972,18.00,5.00,297
Madhya Pradesh,,Total Kharif Pulses,1971-1972,1378.00,675.00,490
Maharashtra,,Total Kharif Pulses,1971-1972,1410.00,454.00,322
Odisha,,Total Kharif Pulses,1971-1972,181.00,86.00,477
Punjab,,Total Kharif Pulses,1971-1972,31.00,16.00,506
Rajasthan,,Total Kharif Pulses,1971-1972,2041.00,414.00,203
Tamil Nadu,,Total Kharif Pulses,1971-1972,522.00,152.00,290
Tripura,,Total Kharif Pulses,1971-1972,1.00,1.00,1000
Uttar Pradesh,,Total Kharif Pulses,1971-1972,634.00,633.00,999
West Bengal,,Total Kharif Pulses,1971-1972,54.00,28.00,524
India,,Total Kharif Pulses,1971-1972,8916.00,3336.00,374
Andhra Pradesh,,Total Kharif Pulses,1972-1973,768.00,111.00,145
Assam,,Total Kharif Pulses,1972-1973,5.00,3.00,600
Bihar,,Total Kharif Pulses,1972-1973,388.00,212.00,548
Dadra & Nagar Haveli  ,,Total Kharif Pulses,1972-1973,3.00,1.00,333
Delhi,,Total Kharif Pulses,1972-1973,1.00,-,-
Gujarat,,Total Kharif Pulses,1972-1973,305.00,70.00,231
Haryana,,Total Kharif Pulses,1972-1973,33.00,16.00,474
Himachal Pradesh,,Total Kharif Pulses,1972-1973,40.00,13.00,336
Jammu & Kashmir,,Total Kharif Pulses,1972-1973,40.00,24.00,598
Karnataka,,Total Kharif Pulses,1972-1973,799.00,202.00,253
Kerala,,Total Kharif Pulses,1972-1973,17.00,4.00,254
Madhya Pradesh,,Total Kharif Pulses,1972-1973,1466.00,698.00,476
Maharashtra,,Total Kharif Pulses,1972-1973,1413.00,376.00,266
Nagaland,,Total Kharif Pulses,1972-1973,1.00,1.00,-
Odisha,,Total Kharif Pulses,1972-1973,163.00,83.00,509
Punjab,,Total Kharif Pulses,1972-1973,41.00,19.00,478
Rajasthan,,Total Kharif Pulses,1972-1973,1915.00,172.00,90
Tamil Nadu,,Total Kharif Pulses,1972-1973,613.00,187.00,305
Tripura,,Total Kharif Pulses,1972-1973,1.00,-,-
Uttar Pradesh,,Total Kharif Pulses,1972-1973,736.00,933.00,1267
West Bengal,,Total Kharif Pulses,1972-1973,65.00,50.00,758
India,,Total Kharif Pulses,1972-1973,8812.00,3177.00,361
Andaman & Nicobar Islands,,Total Kharif Pulses,1973-1974,1.00,-,-
