States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Andhra Pradesh,,Total Rabi Pulses,1970-1971,576.00,206.00,358
Assam,,Total Rabi Pulses,1970-1971,81.00,29.00,363
Bihar,,Total Rabi Pulses,1970-1971,1217.00,724.00,595
Delhi,,Total Rabi Pulses,1970-1971,13.00,7.00,538
Gujarat,,Total Rabi Pulses,1970-1971,102.00,64.00,627
Haryana,,Total Rabi Pulses,1970-1971,1086.00,790.00,727
Himachal Pradesh,,Total Rabi Pulses,1970-1971,30.00,18.00,591
Jammu & Kashmir,,Total Rabi Pulses,1970-1971,5.00,3.00,600
Karnataka,,Total Rabi Pulses,1970-1971,237.00,76.00,319
Kerala,,Total Rabi Pulses,1970-1971,20.00,8.00,399
Madhya Pradesh,,Total Rabi Pulses,1970-1971,2858.00,1341.00,469
Maharashtra,,Total Rabi Pulses,1970-1971,599.00,151.00,253
Meghalaya,,Total Rabi Pulses,1970-1971,1.00,1.00,1000
Odisha,,Total Rabi Pulses,1970-1971,673.00,363.00,539
Punjab,,Total Rabi Pulses,1970-1971,375.00,291.00,776
Rajasthan,,Total Rabi Pulses,1970-1971,1633.00,1210.00,741
Tamil Nadu,,Total Rabi Pulses,1970-1971,4.00,2.00,500
Tripura,,Total Rabi Pulses,1970-1971,2.00,1.00,500
Uttar Pradesh,,Total Rabi Pulses,1970-1971,2969.00,2333.00,786
West Bengal,,Total Rabi Pulses,1970-1971,589.00,322.00,548
India,,Total Rabi Pulses,1970-1971,13070.00,7939.00,607
Andhra Pradesh,,Total Rabi Pulses,1971-1972,557.00,187.00,337
Assam,,Total Rabi Pulses,1971-1972,82.00,28.00,340
Bihar,,Total Rabi Pulses,1971-1972,1201.00,754.00,628
Delhi,,Total Rabi Pulses,1971-1972,12.00,8.00,667
Gujarat,,Total Rabi Pulses,1971-1972,104.00,59.00,573
Haryana,,Total Rabi Pulses,1971-1972,1170.00,666.00,570
Himachal Pradesh,,Total Rabi Pulses,1971-1972,26.00,14.00,551
