States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Andhra Pradesh,,Total Pulses,1950-1951,1563.00,322.00,206
Assam,,Total Pulses,1950-1951,59.00,19.00,330
Bihar,,Total Pulses,1950-1951,1917.00,745.00,389
Delhi,,Total Pulses,1950-1951,24.00,2.00,83
Jammu & Kashmir,,Total Pulses,1950-1951,4.00,2.00,502
Karnataka,,Total Pulses,1950-1951,1252.00,335.00,268
Kerala,,Total Pulses,1950-1951,12.00,2.00,167
Madhya Pradesh,,Total Pulses,1950-1951,3040.00,1241.00,408
Maharashtra,,Total Pulses,1950-1951,2407.00,955.00,397
Odisha,,Total Pulses,1950-1951,45.00,21.00,471
Punjab,,Total Pulses,1950-1951,1937.00,879.00,470
Rajasthan,,Total Pulses,1950-1951,1406.00,369.00,262
Tamil Nadu,,Total Pulses,1950-1951,442.00,72.00,164
Uttar Pradesh,,Total Pulses,1950-1951,4345.00,3023.00,696
West Bengal,,Total Pulses,1950-1951,614.00,382.00,622
India,,Total Pulses,1950-1951,19091.00,8411.00,441
Andhra Pradesh,,Total Pulses,1951-1952,1505.00,334.00,222
Assam,,Total Pulses,1951-1952,51.00,16.00,316
Bihar,,Total Pulses,1951-1952,2226.00,1014.00,455
Delhi,,Total Pulses,1951-1952,8.00,2.00,250
Jammu & Kashmir,,Total Pulses,1951-1952,3.00,4.00,717
Karnataka,,Total Pulses,1951-1952,1137.00,299.00,262
Kerala,,Total Pulses,1951-1952,12.00,2.00,167
Madhya Pradesh,,Total Pulses,1951-1952,3237.00,1298.00,401
Maharashtra,,Total Pulses,1951-1952,2387.00,938.00,393
Odisha,,Total Pulses,1951-1952,411.00,229.00,556
Punjab,,Total Pulses,1951-1952,1321.00,767.00,590
Rajasthan,,Total Pulses,1951-1952,1050.00,227.00,216
Tamil Nadu,,Total Pulses,1951-1952,478.00,91.00,192
Tripura,,Total Pulses,1951-1952,1.00,-,-
Uttar Pradesh,,Total Pulses,1951-1952,4237.00,2741.00,647
West Bengal,,Total Pulses,1951-1952,684.00,438.00,640
India,,Total Pulses,1951-1952,18775.00,8420.00,448
Andhra Pradesh,,Total Pulses,1952-1953,1368.00,276.00,202
Assam,,Total Pulses,1952-1953,67.00,24.00,365
Bihar,,Total Pulses,1952-1953,2229.00,1121.00,503
Delhi,,Total Pulses,1952-1953,16.00,3.00,18
Jammu & Kashmir,,Total Pulses,1952-1953,8.00,1.00,529
Karnataka,,Total Pulses,1952-1953,1125.00,262.00,233
Kerala,,Total Pulses,1952-1953,12.00,2.00,173
Madhya Pradesh,,Total Pulses,1952-1953,3452.00,1307.00,379
Maharashtra,,Total Pulses,1952-1953,2517.00,879.00,349
Odisha,,Total Pulses,1952-1953,414.00,234.00,564
Punjab,,Total Pulses,1952-1953,1641.00,1084.00,682
Rajasthan,,Total Pulses,1952-1953,1562.00,400.00,257
Tamil Nadu,,Total Pulses,1952-1953,412.00,79.00,193
Tripura,,Total Pulses,1952-1953,1.00,-,-
Uttar Pradesh,,Total Pulses,1952-1953,4303.00,3045.00,707
West Bengal,,Total Pulses,1952-1953,722.00,442.00,612
India,,Total Pulses,1952-1953,19845.00,9189.00,463
Andhra Pradesh,,Total Pulses,1953-1954,1514.00,378.00,250
Assam,,Total Pulses,1953-1954,68.00,32.00,466
Bihar,,Total Pulses,1953-1954,2641.00,1234.00,467
Delhi,,Total Pulses,1953-1954,17.00,2.00,118
Himachal Pradesh,,Total Pulses,1953-1954,28.00,9.00,321
Jammu & Kashmir,,Total Pulses,1953-1954,1.00,2.00,837
Karnataka,,Total Pulses,1953-1954,1201.00,333.00,278
Kerala,,Total Pulses,1953-1954,12.00,2.00,167
Madhya Pradesh,,Total Pulses,1953-1954,3473.00,1404.00,405
Maharashtra,,Total Pulses,1953-1954,2706.00,1208.00,446
Odisha,,Total Pulses,1953-1954,443.00,245.00,553
Punjab,,Total Pulses,1953-1954,1871.00,1495.00,812
Rajasthan,,Total Pulses,1953-1954,2023.00,514.00,254
Tamil Nadu,,Total Pulses,1953-1954,438.00,109.00,249
Uttar Pradesh,,Total Pulses,1953-1954,4482.00,3148.00,703
West Bengal,,Total Pulses,1953-1954,814.00,481.00,591
India,,Total Pulses,1953-1954,21729.00,10618.00,489
Andhra Pradesh,,Total Pulses,1954-1955,1302.00,300.00,230
Assam,,Total Pulses,1954-1955,74.00,31.00,409
Bihar,,Total Pulses,1954-1955,1864.00,858.00,460
Delhi,,Total Pulses,1954-1955,36.00,5.00,139
Himachal Pradesh,,Total Pulses,1954-1955,30.00,11.00,367
Jammu & Kashmir,,Total Pulses,1954-1955,4.00,2.00,558
Karnataka,,Total Pulses,1954-1955,1255.00,441.00,351
Kerala,,Total Pulses,1954-1955,44.00,17.00,388
Madhya Pradesh,,Total Pulses,1954-1955,3420.00,1537.00,449
Maharashtra,,Total Pulses,1954-1955,2729.00,1108.00,406
Odisha,,Total Pulses,1954-1955,464.00,254.00,548
Punjab,,Total Pulses,1954-1955,2641.00,1751.00,674
Rajasthan,,Total Pulses,1954-1955,2432.00,834.00,343
Tamil Nadu,,Total Pulses,1954-1955,427.00,106.00,248
Uttar Pradesh,,Total Pulses,1954-1955,4450.00,3208.00,721
West Bengal,,Total Pulses,1954-1955,740.00,459.00,621
India,,Total Pulses,1954-1955,21914.00,10950.00,500
Andhra Pradesh,,Total Pulses,1955-1956,1318.00,278.00,211
Assam,,Total Pulses,1955-1956,74.00,30.00,409
Bihar,,Total Pulses,1955-1956,1860.00,836.00,449
Delhi,,Total Pulses,1955-1956,38.00,3.00,79
Gujarat,,Total Pulses,1955-1956,514.00,176.00,342
Himachal Pradesh,,Total Pulses,1955-1956,31.00,9.00,290
Jammu & Kashmir,,Total Pulses,1955-1956,3.00,3.00,628
Karnataka,,Total Pulses,1955-1956,1498.00,547.00,365
Kerala,,Total Pulses,1955-1956,44.00,16.00,365
Madhya Pradesh,,Total Pulses,1955-1956,3567.00,1676.00,470
Maharashtra,,Total Pulses,1955-1956,2316.00,1081.00,467
Odisha,,Total Pulses,1955-1956,518.00,285.00,551
Punjab,,Total Pulses,1955-1956,2812.00,1787.00,635
Rajasthan,,Total Pulses,1955-1956,2991.00,1071.00,358
Tamil Nadu,,Total Pulses,1955-1956,438.00,104.00,237
Uttar Pradesh,,Total Pulses,1955-1956,4475.00,2920.00,652
West Bengal,,Total Pulses,1955-1956,718.00,398.00,555
India,,Total Pulses,1955-1956,23216.00,11045.00,476
Andhra Pradesh,,Total Pulses,1956-1957,1333.00,276.00,207
Assam,,Total Pulses,1956-1957,74.00,30.00,409
Bihar,,Total Pulses,1956-1957,1903.00,593.00,312
Delhi,,Total Pulses,1956-1957,35.00,4.00,114
Gujarat,,Total Pulses,1956-1957,570.00,187.00,328
Himachal Pradesh,,Total Pulses,1956-1957,30.00,8.00,267
Jammu & Kashmir,,Total Pulses,1956-1957,5.00,3.00,628
Karnataka,,Total Pulses,1956-1957,1203.00,299.00,249
Kerala,,Total Pulses,1956-1957,48.00,19.00,396
Madhya Pradesh,,Total Pulses,1956-1957,3607.00,1704.00,473
Maharashtra,,Total Pulses,1956-1957,2285.00,910.00,398
Odisha,,Total Pulses,1956-1957,504.00,274.00,545
Punjab,,Total Pulses,1956-1957,2735.00,2002.00,732
Rajasthan,,Total Pulses,1956-1957,3554.00,1586.00,446
Tamil Nadu,,Total Pulses,1956-1957,448.00,115.00,257
Tripura,,Total Pulses,1956-1957,1.00,-,-
Uttar Pradesh,,Total Pulses,1956-1957,4381.00,3258.00,744
West Bengal,,Total Pulses,1956-1957,600.00,281.00,465
India,,Total Pulses,1956-1957,23316.00,11551.00,495
