States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Andhra Pradesh,Kharif,Urad,1970-1971,60.00,13.00,217
Bihar,Kharif,Urad,1970-1971,109.00,53.00,486
Haryana,Kharif,Urad,1970-1971,10.00,4.00,400
Himachal Pradesh,Kharif,Urad,1970-1971,28.00,10.00,357
Jammu & Kashmir,Kharif,Urad,1970-1971,18.00,7.00,389
Karnataka,Kharif,Urad,1970-1971,62.00,12.00,194
Kerala,Kharif,Urad,1970-1971,4.00,2.00,500
Madhya Pradesh,Kharif,Urad,1970-1971,476.00,122.00,256
Maharashtra,Kharif,Urad,1970-1971,418.00,106.00,254
Punjab,Kharif,Urad,1970-1971,26.00,12.00,462
Rajasthan,Kharif,Urad,1970-1971,55.00,28.00,509
Tamil Nadu,Kharif,Urad,1970-1971,97.00,24.00,247
Uttar Pradesh,Kharif,Urad,1970-1971,152.00,52.00,342
West Bengal,Kharif,Urad,1970-1971,41.00,25.00,610
India,Kharif,Urad,1970-1971,1557.00,470.00,302
Andhra Pradesh,Rabi,Urad,1970-1971,-,77.00,-
Assam,Rabi,Urad,1970-1971,50.00,17.00,340
Chandigarh,Rabi,Urad,1970-1971,130.00,-,-
Karnataka,Rabi,Urad,1970-1971,6.00,1.00,167
Madhya Pradesh,Rabi,Urad,1970-1971,152.00,34.00,224
Maharashtra,Rabi,Urad,1970-1971,38.00,8.00,211
Tripura,Rabi,Urad,1970-1971,1.00,-,-
West Bengal,Rabi,Urad,1970-1971,134.00,48.00,358
India,Rabi,Urad,1970-1971,510.00,186.00,365
Andhra Pradesh,Total,Urad,1970-1971,190.00,90.00,474
Assam,Total,Urad,1970-1971,50.00,17.00,340
Bihar,Total,Urad,1970-1971,109.00,53.00,486
Haryana,Total,Urad,1970-1971,10.00,4.00,400
Himachal Pradesh,Total,Urad,1970-1971,28.00,10.00,357
Jammu & Kashmir,Total,Urad,1970-1971,18.00,7.00,389
Karnataka,Total,Urad,1970-1971,68.00,14.00,206
Kerala,Total,Urad,1970-1971,4.00,2.00,500
Madhya Pradesh,Total,Urad,1970-1971,628.00,156.00,248
Maharashtra,Total,Urad,1970-1971,457.00,114.00,249
Punjab,Total,Urad,1970-1971,26.00,12.00,462
Rajasthan,Total,Urad,1970-1971,55.00,28.00,509
Tamil Nadu,Total,Urad,1970-1971,97.00,24.00,247
Tripura,Total,Urad,1970-1971,1.00,-,-
Uttar Pradesh,Total,Urad,1970-1971,152.00,52.00,342
West Bengal,Total,Urad,1970-1971,175.00,74.00,423
India,Total,Urad,1970-1971,2067.00,656.00,317
Andhra Pradesh,Kharif,Urad,1971-1972,54.00,11.00,204
Bihar,Kharif,Urad,1971-1972,94.00,21.00,223
Haryana,Kharif,Urad,1971-1972,10.00,4.00,400
Himachal Pradesh,Kharif,Urad,1971-1972,25.00,9.00,360
Jammu & Kashmir,Kharif,Urad,1971-1972,20.00,8.00,400
Karnataka,Kharif,Urad,1971-1972,58.00,12.00,207
Kerala,Kharif,Urad,1971-1972,3.00,1.00,333
Madhya Pradesh,Kharif,Urad,1971-1972,484.00,129.00,267
Maharashtra,Kharif,Urad,1971-1972,294.00,66.00,224
Punjab,Kharif,Urad,1971-1972,23.00,12.00,522
Rajasthan,Kharif,Urad,1971-1972,53.00,23.00,434
Tamil Nadu,Kharif,Urad,1971-1972,97.00,30.00,309
Uttar Pradesh,Kharif,Urad,1971-1972,146.00,29.00,199
West Bengal,Kharif,Urad,1971-1972,32.00,19.00,594
India,Kharif,Urad,1971-1972,1394.00,372.00,267
Andhra Pradesh,Rabi,Urad,1971-1972,132.00,66.00,500
Assam,Rabi,Urad,1971-1972,51.00,16.00,314
Delhi,Rabi,Urad,1971-1972,5.00,-,-
Gujarat,Rabi,Urad,1971-1972,141.00,-,-
Haryana,Rabi,Urad,1971-1972,44.00,-,-
Karnataka,Rabi,Urad,1971-1972,-,1.00,-
Madhya Pradesh,Rabi,Urad,1971-1972,-,33.00,-
Maharashtra,Rabi,Urad,1971-1972,-,10.00,-
Meghalaya,Rabi,Urad,1971-1972,1.00,-,-
Nagaland,Rabi,Urad,1971-1972,100.00,-,-
West Bengal,Rabi,Urad,1971-1972,-,38.00,-
India,Rabi,Urad,1971-1972,474.00,163.00,344
Andhra Pradesh,Total,Urad,1971-1972,186.00,76.00,409
Assam,Total,Urad,1971-1972,51.00,16.00,314
Bihar,Total,Urad,1971-1972,94.00,21.00,223
Haryana,Total,Urad,1971-1972,10.00,4.00,400
Himachal Pradesh,Total,Urad,1971-1972,25.00,9.00,360
Jammu & Kashmir,Total,Urad,1971-1972,20.00,8.00,400
Karnataka,Total,Urad,1971-1972,63.00,13.00,206
Kerala,Total,Urad,1971-1972,3.00,1.00,333
Madhya Pradesh,Total,Urad,1971-1972,625.00,162.00,259
Maharashtra,Total,Urad,1971-1972,338.00,75.00,222
Punjab,Total,Urad,1971-1972,23.00,12.00,522
Rajasthan,Total,Urad,1971-1972,53.00,23.00,434
Tamil Nadu,Total,Urad,1971-1972,97.00,30.00,309
Tripura,Total,Urad,1971-1972,1.00,-,-
Uttar Pradesh,Total,Urad,1971-1972,146.00,29.00,199
West Bengal,Total,Urad,1971-1972,133.00,57.00,429
India,Total,Urad,1971-1972,1868.00,535.00,286
Andhra Pradesh,Kharif,Urad,1972-1973,49.00,8.00,163
Bihar,Kharif,Urad,1972-1973,100.00,37.00,370
Dadra & Nagar Haveli  ,Kharif,Urad,1972-1973,2.00,1.00,500
Haryana,Kharif,Urad,1972-1973,12.00,5.00,417
Himachal Pradesh,Kharif,Urad,1972-1973,21.00,6.00,286
Jammu & Kashmir,Kharif,Urad,1972-1973,20.00,9.00,450
Karnataka,Kharif,Urad,1972-1973,34.00,16.00,471
Kerala,Kharif,Urad,1972-1973,3.00,1.00,333
Madhya Pradesh,Kharif,Urad,1972-1973,516.00,110.00,213
